Language,Tagalog,Wolof,Baure,Isthmus Zapotec,Somali,Kikuyu; Gikuyu,Croatian,Bakhtiari,Choctaw,Marathi,Nepal Bhasa; Newari,Amharic,Tamil,Bavarian,Võro,Abkhazian,Alviri-Vidari,Cebuano,Nganasan,Telugu,Aragonese,Central Kurdish,Swiss German; Alemannic; Alsatian,Luo (Kenya and Tanzania),Finnish,Bodo (India),Uighur; Uyghur,Papiamento,Rohingya,Gaelic; Scottish Gaelic,Malayalam,Thai,Walloon,Gujarati,Kis,Nanai,Chamicuro,Scots,French,Uab Meto,uranik kathava,Pedi; Sepedi; Northern Sotho,Achinese,Lithuanian,Dogrib,Kashmiri,Urdu,Ama (Papua New Guinea),Banjar,Masai,Catalan; Valencian,Votic,Tonga (Tonga Islands),Hakka Chinese,Nauru,Bashkir,Ingush,Cheyenne,Bulgarian,Erzya,Central Melanau,Prussian,Krio,Waray,Welsh,Ewe,Moroccan Arabic,Kildin Sami,Tuvinian,Tok Pisin,San Blas Kuna,"Low German; Low Saxon; German, Low; Saxon, Low",Ganda,Manx,Tuvalu,Chinese,purank kania,Lule Sami,pauranik varta,Cornish,Wu Chinese,Czech,Ket,Sranan Tongo,Iloko,Shona,Tahitian,Bengali,Western Frisian,Western Apache,Komi-Permyak,Northern Frisian,Potawatomi,Mazanderani,Hebrew,Pitcairn-Norfolk,"Greek, Ancient (to 1453)",Northern Sami,Tachelhit,"Sotho, Southern",Chamorro,Macedonian,Rapanui,Ladin,Koryak,Gheg Albanian,Dolgan,pouraniko kahani,Fijian,Eshtehardi,Minangkabau,Swedish,Archi,Gallurese Sardinian,Kabyle,Gagauz,Karachay-Balkar,Pali,Georgian,Slovak,Navajo; Navaho,Kalo Finnish Romani,Standard Malay,Venda,Russian,puranik kahania,Latgalian,Sichuan Yi; Nuosu,onjomnosk,pouranik kahini,Nogai,Moksha,Dongxiang,Hungarian,Algonquin,Classical Syriac,Bau Bidayuh,Hopi,Albanian,Kannada,Kara-Kalpak,Nenets,Central Atlas Tamazight,Laz,Esperanto,Pennsylvania German,Central Khmer,Lombard,Romansh,Chechen,pauranik akhyayika,Malay (macrolanguage),Gan Chinese,Mandarin Chinese,pauranikakathasamuhah,Danish,Kölsch,Vlaams,Silesian,Kalmyk; Oirat,Tatar,Lak,Divehi; Dhivehi; Maldivian,Shor,Dzongkha,Ingrian,Aleut,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Unnamed: 168,Cherokee,Russia Buriat,Japanese,Tohono O'odham,khristpurb,Mandinka,Haitian; Haitian Creole,Tai Dam,Sundanese,Lezghian,Romagnol,Mócheno,Khakas,Turkmen,Ainu,Indonesian,Turkish,Fiji Hindi,Borôro,Basque,Sanskrit,Talysh,Coptic,puraniki,Burmese,Gilbertese,Manchu,Central Okinawan,Oriya,Standard Arabic,Khoekhoe,Kalaallisut; Greenlandic,Limburgan; Limburger; Limburgish,Wymysorys,Tigrinya,Western Abnaki,Neapolitan,!Xóõ,Mongolian,Ngarrindjeri,Pacific Gulf Yupik,Lower Sorbian,Abaza,Yakut,Hiligaynon,Persian,Ladino,Innu,Lakota,Dakota,German,Jamaican Creole English,Lao,Min Dong Chinese,Mirandese,Chichewa; Chewa; Nyanja,"Bokmål, Norwegian; Norwegian Bokmål",Hausa,Aguaruna,Ligurian,Irish,Maltese,pauranikakathe,Romanian,Tswana,Kinyarwanda,Mingrelian,Sinhala; Sinhalese,Meru,English,Sassarese Sardinian,Warlpiri,Kashubian,Kazakh,puranik kanyo,Venetian,Javanese,Northern Tiwa,Faroese,Galician,pauranika-kathe,Breton,Icelandic,Lushai,Alabama,Powhatan,Belarusian,Western Mari,pauranika kathe,Crimean Tatar; Crimean Turkish,Corsican,Lingala,Armenian,Evenki,Upper Sorbian,Veps,Guerrero Amuzgo,Dutch,Chuvash,Latin,Asturian; Bable; Leonese; Asturleonese,Seri,Hawaiian,Pangasinan,Polish,Inari Sami,Tetum,Adyghe; Adygei,Zulu,Chinook jargon,Buginese,Italian,Panjabi; Punjabi,Assamese,Pampanga; Kapampangan,Egyptian Arabic,Arpitan,Udmurt,Santali,Kirghiz; Kyrgyz,Kamba,Ukrainian,Slovenian,Kabardian,Kumyk,kristapurva,Nepali,Sindhi,Piemontese,Guadeloupean Creole French,Madurese,Extremaduran,Dungan,Pitjantjatjara,Manipuri,Central Yupik,Yue Chinese,Skolt Sami,Modern Greek (1453-),Avestan,Bambara,Bishnupriya,Friulian,pauraniki,Aromanian; Arumanian; Macedo-Romanian,Samogitian,Portuguese,Tibetan,Afrikaans,Miyako,Xhosa,Vietnamese,Northern Kurdish,Avaric,Sicilian,pouraniko kotha,Occitan (post 1500); Provençal,Tajik,Liv,Ossetian; Ossetic,Rusyn,pauranika,Balinese,Korean,Central Bikol,Samoan,"Norwegian Nynorsk; Nynorsk, Norwegian",Konkani,Saterfriesisch,Logudorese Sardinian,Eastern Mari,Yucateco,Luxembourgish; Letzeburgesch,Spanish; Castilian,Bislama,Karelian,Igbo,Mi'kmaq; Micmac,Southern Altai,Swati,Maori,Hindi,Western Panjabi,Pipil,Campidanese Sardinian,Udi,Yoruba
Italian,661,33,2,0,74,14,5624,3,4,313,17,38,288,76,124,37,1,272,0,333,787,81,132,16,9951,363,26,531,23,547,457,1376,288,1106,0,0,17,222,22876,0,0,217,5,2429,0,579,736,0,6,1,16631,10,26,6,8,122,2,0,2208,125,5,16,1,95,941,41,4,17,50,112,0,166,26,550,11,57,0,1,0,341,0,7217,2,25,91,24,11,851,624,0,34,51,0,10,339,9,203,169,1,157,160,1485,16,89,0,2,0,0,21,1,0,5168,1,24,37,32,38,2,668,9023,28,1,2573,4,4508,0,33,0,0,0,26,133,0,7676,0,5,0,2,1548,440,22,16,3,5,6656,14,91,244,644,88,0,3174,3,363,0,3644,129,69,19,34,147,21,26,2,0,5,1,60,20,12,34,3337,1,0,2,567,0,105,56,6,6,34,365,1,4330,2712,19,0,6173,204,4,19,0,61,7,3,0,769,551,1,46,229,17,18,4,343,0,654,0,0,231,9,145,87,385,30,0,5,0,12942,36,573,1,67,4,3385,80,0,300,1047,1082,0,12509,325,55,9,43,19,21428,29,1,163,681,0,373,174,23,561,7365,0,762,1337,3,3,0,1349,22,0,170,406,131,750,33,222,35,2,8707,180,3279,3037,5,135,2,10349,6,43,16,178,3,2,0,924,460,44,28,65,56,0,342,18,2206,8600,16,61,0,422,21,218,5,0,44,3,0,291,2,19,20,2596,2,51,5,614,0,360,165,20642,6,1860,3,169,773,452,45,1207,0,2218,334,27,233,49,0,0,649,13,115,1346,741,91,69,555,5,627,21627,35,13,19,2,32,8,191,660,19,0,64,8,177
Panjabi; Punjabi,212,22,0,1,61,9,695,2,0,745,22,51,1050,31,54,17,3,122,0,3110,124,75,38,13,906,2336,43,114,43,186,2807,555,96,14056,0,0,6,79,1197,2,0,88,1,362,0,3345,5126,0,2,0,891,5,16,2,8,72,1,0,469,69,3,7,2,27,267,22,4,15,35,70,0,72,21,154,16,39,0,0,0,139,0,603,0,0,44,6,11,7576,216,0,25,39,0,17,153,5,45,50,0,83,39,392,1,22,0,0,0,0,20,1,0,540,3,2,39,34,25,7,236,608,20,2,582,0,766,0,6,0,0,0,15,82,0,533,1,1,1,0,286,7016,21,15,2,1,644,23,115,102,157,55,0,808,1,64,0,531,49,33,8,18,113,17,37,2,4,2,0,40,9,17,28,903,0,0,0,116,0,39,32,0,1,30,173,5,860,588,3,0,666,5366,8,21,0,55,7,1,4,7725,365,0,25,111,4,18,5,51,0,275,0,0,87,13,49,26,307,7,1,6,0,862,28,46,0,12,2,511,65,0,56,308,289,0,898,150,25,8,106,9,1839,2,0,63,197,0,66,84,3,261,523,0,222,383,0,1,0,358,20,0,69,102,92,303,27,85,19,0,943,74,294,336,3,57,1,759,5,30,18,117,2,1,924,6246,5803,22,19,25,31,12,179,7,454,692,16,49,0,7083,36,36,3,0,23,4,0,741,1,7,10,318,4,34,14,151,0,106,62,1236,7,372,3,104,176,177,28,163,0,282,223,20,117,24,0,0,282,18,65,301,5744,48,2,107,2,181,856,19,6,10,0,28,8,94,2057,25,0,10,7,83
Assamese,131,18,0,0,46,5,348,0,0,595,15,31,765,22,9,10,0,56,0,2871,58,34,27,5,423,2457,23,88,49,106,2468,306,61,9046,0,0,7,42,611,0,0,51,2,172,0,1244,1780,0,5,0,448,3,12,1,3,42,0,0,222,44,7,6,0,13,142,21,3,15,18,58,0,56,15,57,10,16,0,0,0,71,0,267,0,1,30,5,10,9192,116,0,14,22,0,10,100,4,30,26,0,31,26,234,0,15,0,0,0,0,15,1,0,266,1,1,22,20,16,5,137,287,7,1,326,2,409,0,6,0,0,0,10,47,0,233,0,1,1,0,145,5913,12,10,1,1,345,10,84,35,113,38,0,439,2,31,0,269,34,19,7,10,72,12,28,1,4,1,0,27,3,10,16,441,0,0,0,68,0,26,19,0,4,17,108,3,450,270,4,0,335,5499,3,17,0,49,6,1,2,8329,123,0,15,58,2,14,0,34,0,127,0,0,64,8,21,17,156,6,0,2,0,428,23,41,0,8,1,264,40,0,42,163,140,0,464,100,19,3,88,6,865,2,0,15,106,0,55,51,1,144,262,0,105,194,4,2,0,175,11,0,42,39,39,171,17,52,9,0,493,21,178,186,1,58,2,349,4,24,11,74,1,1,460,5803,4948,12,19,16,21,8,100,4,219,365,10,21,0,6711,20,28,0,0,18,2,0,697,1,3,7,178,5,33,13,82,0,47,18,611,6,190,1,66,70,79,17,108,0,160,105,15,46,13,0,0,146,12,18,174,3741,25,4,65,0,101,448,18,12,11,1,17,3,46,1431,19,0,8,6,44
Pampanga; Kapampangan,56,9,0,0,17,1,22,0,3,18,3,8,14,14,5,5,0,40,0,17,34,2,17,1,20,17,4,26,2,14,19,6,22,18,0,0,0,28,44,1,0,5,4,12,0,15,12,0,1,1,36,2,13,0,1,16,0,0,28,4,3,5,0,15,22,9,1,9,15,17,0,24,8,9,14,0,0,0,0,25,0,18,3,2,42,1,9,14,23,0,13,22,0,2,5,2,14,6,0,3,23,22,3,18,0,0,0,0,12,0,1,33,1,0,17,11,11,0,15,26,0,1,35,0,25,0,3,0,0,0,2,10,0,22,0,1,0,0,29,17,12,11,1,2,36,9,3,25,36,19,0,29,2,2,0,31,13,15,5,2,25,11,6,1,0,0,0,22,2,0,13,11,0,0,0,23,1,21,13,1,0,13,18,0,38,14,4,0,16,20,0,8,0,9,5,1,0,14,15,3,9,18,2,8,0,30,0,3,0,0,20,6,8,24,5,5,0,1,0,48,17,3,0,4,1,36,28,0,36,19,21,0,33,0,2,3,2,3,53,0,0,7,8,0,35,28,6,23,29,0,33,23,0,2,0,17,11,0,16,27,13,12,13,20,4,1,37,6,37,30,0,16,8,24,0,13,10,16,1,4,44,22,12,2,2,19,16,0,16,1,18,31,11,12,0,18,6,22,1,0,14,0,0,11,0,0,0,27,0,9,0,24,0,22,6,47,0,28,0,14,9,20,14,44,0,34,17,13,16,13,0,2,3,5,15,25,17,16,3,15,0,27,43,14,2,10,0,11,2,18,15,9,0,5,6,17
Egyptian Arabic,11,5,0,0,9,1,26,0,0,12,3,4,10,2,1,9,0,4,0,9,7,4,3,0,18,23,6,6,1,7,8,11,4,20,0,0,2,4,31,0,0,7,0,11,0,18,51,0,0,1,24,1,2,0,0,15,0,0,20,4,1,2,0,3,9,2,20,1,4,5,0,3,4,6,1,1,0,0,0,4,0,20,0,1,4,1,2,16,5,0,2,1,0,1,6,0,8,6,0,2,3,23,0,3,0,0,0,0,1,1,0,22,1,0,3,4,5,0,18,21,1,0,28,0,25,0,0,0,0,0,4,4,0,20,0,1,0,0,9,25,5,2,1,1,22,1,4,3,16,8,0,32,0,5,0,20,4,1,2,2,16,2,6,2,0,1,0,7,0,0,4,23,0,0,0,3,0,3,2,0,0,4,18,0,29,47,0,0,24,20,0,2,0,5,1,0,0,17,181,0,1,3,1,6,0,6,0,4,0,0,4,3,1,5,29,4,0,1,0,32,5,5,0,1,2,17,15,0,7,17,25,0,30,3,3,0,3,1,40,0,0,2,13,0,9,4,1,13,13,0,6,16,0,1,0,15,1,0,11,7,3,22,2,4,1,0,22,1,14,15,0,4,0,23,2,2,3,5,0,0,28,19,19,2,28,1,2,1,16,0,17,24,2,5,0,33,4,3,0,0,1,0,0,8,0,0,2,16,0,2,1,9,0,7,3,44,0,18,0,6,4,17,5,12,0,16,19,1,7,1,0,0,7,2,1,10,15,3,2,5,1,9,19,1,1,0,0,3,0,5,38,3,0,0,2,4
Arpitan,33,14,0,0,16,2,34,0,2,23,2,10,9,15,3,3,0,28,0,14,36,1,16,2,26,23,3,25,1,16,15,3,29,21,0,0,1,23,54,0,0,6,3,19,0,14,17,0,0,1,54,3,10,0,2,13,0,0,34,3,0,5,0,11,27,9,0,8,11,18,0,25,7,8,9,1,0,0,0,25,0,30,0,2,26,1,6,20,26,0,9,15,0,1,3,4,10,12,0,5,21,24,0,17,0,0,0,0,8,0,0,45,1,0,18,9,11,1,23,45,0,1,39,0,29,0,1,0,0,0,0,10,0,32,0,0,0,0,20,13,10,9,0,1,44,10,3,19,35,16,0,36,2,1,0,41,14,11,7,2,23,9,6,1,0,0,0,17,1,1,11,13,0,0,0,27,0,11,10,0,0,9,15,0,44,26,4,0,26,4,0,5,0,8,4,0,0,16,15,0,9,25,2,7,0,29,0,3,0,0,19,5,3,13,2,4,0,1,0,42,13,0,0,5,1,42,18,0,33,22,23,0,44,3,2,3,4,3,48,0,0,6,11,0,33,20,5,26,46,0,32,29,0,2,0,17,8,0,16,29,17,12,9,24,1,1,44,7,39,40,0,11,1,38,0,15,8,16,0,1,65,25,16,19,1,2,12,0,15,2,22,36,9,8,0,22,6,22,1,0,14,0,0,11,0,1,0,26,0,10,2,29,0,17,7,61,1,36,0,18,8,21,10,39,0,45,16,11,15,9,0,0,7,8,11,26,23,13,3,14,0,31,66,12,0,8,0,9,4,19,20,8,0,4,5,13
Udmurt,55,12,0,0,20,1,60,0,1,36,4,9,22,13,14,23,0,27,0,22,41,7,17,2,38,21,12,33,3,25,24,20,31,35,0,1,0,32,65,0,0,8,2,33,0,23,30,0,4,0,44,1,8,0,1,45,4,0,66,30,2,4,0,10,29,9,1,12,40,14,0,35,10,19,10,0,0,0,0,32,0,35,0,1,26,2,6,28,37,0,40,32,0,2,15,2,13,9,0,15,18,54,0,13,0,0,0,0,9,0,0,44,2,0,16,32,18,0,32,52,2,1,46,0,78,0,9,0,0,0,21,31,0,51,0,1,0,0,61,23,14,18,1,2,49,8,12,33,44,41,0,47,2,2,0,48,11,16,11,19,49,17,7,2,0,0,0,29,1,0,35,29,0,0,0,30,0,23,32,0,0,40,50,0,58,32,5,0,33,10,0,9,0,9,4,0,0,26,25,0,10,40,0,9,0,25,0,26,0,0,42,6,39,8,11,4,0,0,0,53,14,2,0,2,1,47,29,0,31,31,42,0,51,6,4,2,2,4,60,0,0,27,41,0,39,36,2,37,48,0,36,46,0,2,0,59,17,0,37,35,24,34,38,40,19,0,65,32,43,40,0,21,1,47,0,15,12,24,1,1,56,31,21,16,2,12,2,0,44,1,63,61,13,37,0,29,6,20,0,0,10,1,0,15,0,0,2,43,0,9,1,38,0,30,24,71,0,37,1,15,20,40,39,47,0,47,40,12,46,31,0,0,21,4,20,34,29,28,2,45,0,42,49,10,4,9,0,38,1,17,23,11,0,4,5,26
Santali,0,0,0,0,0,1,2,0,0,4,0,1,4,0,0,0,0,0,0,7,1,0,0,0,0,8,0,1,3,1,6,3,0,18,0,0,0,2,0,0,0,0,0,0,0,2,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,2,0,3,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,0,1,0,0,0,0,0,9,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,2,0,1,0,4,0,0,0,1,0,0,2,0,0,0,1,0,3,0,0,0,1,0,0,1,0,3,0,0,2,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,3,1,0,1,0,2,0,0,0,0,0,0,0,12,8,0,1,0,0,0,1,1,1,1,0,0,0,10,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,1,0,1,0,3,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,1,4,9,0,0,0,0,2,1,0,0,0,0,0,0,1,11,0,0,1,0,0
Kirghiz; Kyrgyz,150,19,0,0,47,4,362,0,0,125,6,23,76,17,94,37,2,132,0,70,150,38,41,5,287,89,99,75,9,134,84,124,62,229,1,2,3,62,380,0,0,27,1,267,1,105,195,0,4,1,313,4,10,1,3,238,3,0,469,62,3,3,0,45,170,21,2,16,77,29,0,52,16,106,11,8,0,0,0,115,0,313,1,3,30,6,9,182,187,0,34,32,0,10,60,6,23,38,0,98,28,350,1,22,0,0,13,0,13,0,0,301,4,1,20,69,117,2,195,356,6,1,271,0,516,0,9,0,0,0,70,72,0,307,0,1,0,1,237,95,64,14,1,2,330,11,30,107,86,91,0,237,2,28,0,320,38,21,12,43,206,22,14,35,0,0,0,21,4,5,37,240,0,0,0,76,0,37,54,0,0,86,325,1,282,425,8,0,273,34,2,9,0,28,5,1,1,156,122,1,17,84,1,14,0,37,0,208,0,0,85,7,143,18,73,9,0,2,0,356,14,17,0,12,1,295,43,0,57,178,222,0,328,44,23,4,19,7,380,1,0,92,637,0,56,74,1,174,281,0,179,255,0,2,0,447,18,0,143,115,87,204,34,77,30,0,376,167,213,220,1,33,3,341,2,21,13,57,1,3,342,179,100,16,16,15,44,1,44,6,508,351,13,134,0,108,16,38,2,0,20,2,0,57,2,3,8,148,0,17,3,143,0,104,107,505,2,259,2,48,152,193,48,137,0,206,297,15,188,42,0,0,148,7,92,194,171,51,3,134,1,175,381,15,4,12,0,87,4,95,184,18,0,9,6,72
Kamba,9,3,0,0,6,68,12,0,0,2,0,0,4,4,1,0,0,3,0,3,4,0,4,18,8,2,0,1,0,8,2,1,2,4,2,0,1,5,12,0,0,0,1,12,0,2,5,0,0,1,17,0,1,0,2,0,0,0,9,0,0,0,0,1,19,2,0,0,0,1,0,1,12,1,0,0,0,0,0,4,0,15,2,0,3,3,0,5,11,0,0,0,0,0,1,1,1,8,0,3,0,10,0,1,0,0,0,0,1,0,0,18,0,0,1,0,0,0,0,11,3,1,19,1,9,0,0,0,0,0,0,0,0,14,0,0,0,0,14,4,0,0,0,0,12,0,0,0,5,5,0,5,0,0,0,15,2,0,1,0,3,0,1,0,0,0,0,0,2,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,14,16,1,0,14,0,0,0,0,0,0,0,0,4,5,0,0,7,0,0,0,4,0,6,0,0,6,0,1,0,0,0,0,0,0,14,0,0,0,0,0,18,2,0,2,7,13,0,14,2,14,0,1,29,10,0,0,1,2,0,2,2,0,14,12,0,14,18,0,0,0,7,0,0,2,3,8,1,0,9,0,0,13,1,7,13,0,3,0,10,0,2,0,4,0,0,18,7,4,1,0,2,1,1,6,20,6,9,0,0,0,3,0,7,0,0,1,0,0,2,0,0,0,3,0,4,0,5,0,2,0,14,0,15,0,2,11,5,0,9,0,9,3,2,3,0,0,0,2,1,0,15,3,0,0,1,0,7,17,0,0,2,0,0,1,11,7,0,0,0,0,4
Ukrainian,377,10,1,1,39,3,2573,0,1,247,14,26,182,53,203,45,0,265,0,157,400,78,71,8,1551,171,35,229,18,373,227,404,132,564,1,2,7,140,2446,0,0,73,5,1308,0,252,412,0,4,1,1965,12,4,7,4,176,3,0,2835,160,6,15,2,100,594,15,4,12,61,62,0,105,14,353,3,38,0,0,0,305,0,2899,5,15,41,15,3,413,491,0,44,35,0,6,196,5,111,97,1,219,53,1959,4,23,0,1,0,0,7,0,2,1808,6,1,10,34,29,1,633,2533,12,0,1042,0,7173,0,56,2,0,0,42,145,0,1540,0,4,0,1,741,207,13,13,2,3,1991,2,69,217,239,90,0,994,0,96,0,1598,73,39,39,58,126,17,17,7,0,3,2,172,17,8,34,1025,0,0,0,236,0,61,67,3,3,46,360,1,1308,1350,12,0,1498,98,1,7,0,33,3,4,1,379,268,5,18,191,13,7,3,103,2,559,0,0,315,1,221,35,182,14,0,4,1,2348,9,33,1,29,1,1515,28,0,125,600,635,0,1942,153,39,5,36,7,2428,4,1,260,870,0,145,136,6,452,1457,0,508,794,1,0,0,3317,23,0,151,260,136,617,42,254,56,0,2130,287,882,1044,2,78,6,2821,7,22,9,77,3,1,2206,454,219,18,17,22,63,1,508,6,1346,2513,6,78,0,213,9,94,3,1,17,3,0,129,2,19,34,748,0,29,2,345,0,252,247,2745,4,965,3,74,448,434,59,401,0,811,452,13,337,81,0,2,479,11,171,733,413,96,10,680,4,484,2237,13,16,6,0,39,5,198,465,13,0,24,4,149
Slovenian,474,23,1,1,61,10,16258,0,2,261,18,32,243,65,140,38,0,232,0,227,460,93,114,11,9586,294,31,320,20,405,348,914,187,815,2,3,8,178,14281,0,0,170,3,2285,0,427,531,0,4,1,8585,11,24,7,4,139,5,0,3465,141,7,22,3,91,725,38,4,18,66,95,1,151,30,431,16,56,0,0,0,275,0,6993,5,16,61,15,16,636,547,0,42,55,0,10,285,8,157,148,2,162,95,2493,10,43,0,2,1,0,22,0,2,3624,5,3,29,40,34,1,580,9990,19,1,1965,3,5948,0,51,2,0,0,32,142,0,4716,0,3,0,2,1183,332,24,19,3,2,3919,12,77,195,330,84,0,2708,4,359,0,2758,110,58,34,42,138,21,22,5,0,4,1,195,13,8,41,2454,1,0,1,348,0,88,61,1,4,50,362,1,3530,1962,15,0,3627,162,1,14,0,46,10,6,2,603,540,5,39,211,13,16,5,156,5,615,0,0,415,8,150,53,336,23,0,5,1,7451,27,159,1,41,4,2600,60,0,154,801,685,0,6927,271,40,8,29,11,15852,7,0,214,634,0,183,164,9,503,3342,0,557,1078,1,2,0,1679,26,0,165,238,125,639,42,350,52,0,5537,195,1486,1553,3,133,6,7982,10,33,16,135,4,3,8600,692,365,31,24,36,61,1,351,9,2513,4900,17,64,0,336,17,152,8,0,37,3,1,231,2,12,27,2370,0,48,3,354,0,222,187,9816,5,1389,4,127,587,424,52,524,0,1101,328,27,245,71,0,1,504,14,127,1117,570,92,24,541,5,561,10230,30,17,15,1,40,5,165,513,17,0,30,8,153
Kabardian,17,8,0,0,16,1,15,0,0,12,1,8,8,8,2,6,0,14,0,10,16,1,12,0,5,17,4,19,1,3,11,3,15,12,0,0,0,13,19,0,0,6,0,4,0,11,10,0,0,0,16,0,8,0,0,16,2,0,16,5,0,3,0,5,5,8,1,9,15,10,0,17,8,2,10,0,0,0,0,5,0,6,0,0,20,1,6,11,10,0,11,13,0,2,6,1,11,4,0,0,16,14,0,15,0,0,0,0,8,0,0,15,0,0,16,9,11,0,11,16,0,1,16,0,16,0,1,0,0,0,0,9,0,15,0,1,0,0,11,10,13,11,1,1,15,8,0,17,22,19,0,19,2,0,0,14,6,9,5,3,24,11,5,0,0,0,0,16,0,0,14,1,0,0,0,14,0,12,12,0,0,12,14,0,25,5,2,0,5,3,0,7,0,9,4,0,0,12,9,0,10,13,0,8,0,20,0,1,0,0,16,7,5,7,1,3,0,0,0,17,13,0,0,1,1,16,27,0,21,7,13,0,18,3,0,2,0,2,19,0,0,6,7,0,19,15,1,14,16,0,7,12,0,2,0,6,9,0,12,18,11,12,10,16,2,0,13,5,15,13,0,10,1,7,0,13,28,13,0,2,16,16,10,11,2,9,13,0,13,0,6,17,0,12,0,11,6,12,0,0,11,0,0,10,1,0,0,22,0,8,0,15,0,12,5,19,0,12,0,14,1,16,15,21,0,18,13,9,16,11,0,0,1,2,12,10,15,12,2,14,0,19,16,9,0,7,0,10,0,12,11,9,0,3,4,9
Kumyk,53,6,0,0,22,1,62,0,0,30,4,9,21,8,13,22,0,24,0,29,40,15,10,0,45,26,44,35,3,20,28,23,27,44,0,1,2,29,70,0,0,9,0,39,1,34,51,0,3,0,50,1,9,0,0,139,4,0,76,31,2,2,0,13,32,8,0,15,60,9,0,31,9,21,10,0,0,0,0,27,0,42,0,2,21,3,6,38,38,0,29,31,0,2,15,1,13,6,0,14,15,60,0,13,0,0,11,0,9,0,0,50,1,0,17,63,114,0,37,50,2,1,54,0,87,0,9,0,0,0,98,31,0,53,0,0,0,0,64,32,52,12,0,1,56,8,12,30,39,52,0,53,2,2,0,56,9,14,4,25,97,21,7,30,0,0,0,14,0,1,30,40,0,0,0,30,0,18,56,0,0,74,117,0,65,107,4,0,34,5,0,6,0,9,4,0,0,36,43,0,10,36,0,9,0,20,0,34,0,0,33,5,79,6,26,4,0,0,0,59,11,2,0,1,1,56,23,0,22,32,41,0,57,9,3,4,3,2,70,0,0,19,137,0,32,33,0,37,51,0,37,51,0,2,0,68,15,0,92,35,21,44,30,32,19,0,67,48,45,43,0,21,0,50,0,11,11,26,0,1,61,49,21,12,5,8,37,0,134,0,78,64,12,10,0,34,7,17,0,0,9,0,0,19,0,0,3,42,0,9,0,37,0,29,22,88,1,47,0,15,21,47,45,45,0,51,71,9,60,25,0,0,25,2,20,33,37,27,2,50,1,38,64,9,1,7,0,72,0,16,40,10,0,5,6,29
kristapurva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
